game_nr,object,fixed indices,context condition,message
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
950,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1162,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
1456,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2018,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
2915,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[2, 14, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4366,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
4381,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
6607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[3, 2, 8, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
7607,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[3, 2, 14, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
9307,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
13692,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
13692,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
13692,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
13692,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
13692,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[3, 2, 8, 14, 9, 0]"
